 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|sumangali seva ashrama|kodihalli|30948|KEMPAPURA|Anganwadi|co-ed|kannada|yemalur Post, 1st Cross|Kempabapura|560037|Behind Kempapura Bus Stop|Cream Colour Building|336 A|Inside G.K.L.P.S Kempapura|POINT(77.67263 12.94604)
 bangalore|sumangali seva ashrama|kodihalli|30952|JEEVANBHIMANAGAR|Anganwadi|co-ed|kannada|11st cross,10th main road,Sector 11,H A L 3rd stage,Bangalore|JEEVANBHIMANAGAR|560075|Inside g K M P S JEEVANBHIMANAGAR|Pink Colour Building & Pink Colour Building|13,139,201,201G,201M|Stone Compound & Blue Colour Gate|POINT(77.6551 12.96782)
 bangalore|sumangali seva ashrama|kodihalli|30657|SHREERAMANAGARI|Anganwadi|co-ed|kannada|1st cross,Old Airport road,H A L Post,Bangalore|Shreeramnagar|560017|Bisd Shiva Temple|Yellow colour Building & White Colode Door|329330|Sheet Building|POINT(77.65731 12.95888)
 bangalore|sumangali seva ashrama|kodihalli|30664|KODIHALLI|Anganwadi|co-ed|kannada|H A L Main Road,Shanth Kumar Circle,Bangalore|kodhalli|560008|Compound Inside G K M P S kodhalli|Green & Orange Clour Buiding & Blue Colour door|329330|Yellow colour Building & Black colour gate|POINT(77.64703 12.96424)
 bangalore|sumangali seva ashrama|kodihalli|30648|SUDHAGUNTTAPALYA|Anganwadi|co-ed|kannada|1st Main Road, C.V. Raman Nagar Post|Siddguntepalya|560093|Near LRD Bus Stop|Inside G.K.L.P.S Siddaguntepalya|314 B|Cream Colour Building|POINT(77.65645 12.9838)
 bangalore|sumangali seva ashrama|kodihalli|30636|REDDY PALYA|Anganwadi|co-ed|kannada|H A L Post,Bnagalore|Reddypaly|560017|Bside Ashwath katta|Yellow Colour Building||Brown Colour Door|POINT(77.66624 12.96494)
 bangalore|sumangali seva ashrama|kodihalli|30640|SUDHAMANAGAR 2|Anganwadi|co-ed|kannada|1st Cross,New Thippasandra Post,Jeevanbhima Nagar,Bnagalore|Sudhamanagar 2|560075|Beside Jesus Statue|Pink Colour Building & Brown Colour Door|139201|Sheet Building|POINT(77.66112 12.96403)
 bangalore|sumangali seva ashrama|kodihalli|30646|SUDHAMANAGAR 1|Anganwadi|co-ed|kannada|4th cross,New Thippasandra post,Jeevanbhima Nagar,Bangalore|Sudhamanagar|560075|Bsidemariyamma temple|ligth pink Colour Building & Green Colour Door|132,201,201g,301M|Ligth Pink Colour Compound & Black Colour Gate|POINT(77.66136 12.96328)
 bangalore|sumangali seva ashrama|kodihalli|30404|BENNIGANA HALLI|Anganwadi|co-ed|kannada|Old Madras Road, Dooravani Nagar Post||560016|Near Benniganahalli Bus Stop|Godown Style||Blue Colour Shetter|POINT(77.66314 12.99533)
 bangalore|sumangali seva ashrama|kodihalli|30407|JOTHIPURA|Anganwadi|co-ed|kannada|F.C. Road, Dooravaninagar Post|Jyothipura|560016|Near Tin Factory Bus Stop|Pista Colour Building|500, 501, 504|Brown Colour Door|POINT(77.67018 12.99973)
 bangalore|bangalore north (yelahanka)|kodigenahalli|31300|KAVAL BYSANDRA-3|Anganwadi|co-ed|kannada|No. 7, 3rd Main Road, Nagamma Layout(Chinnappa Layout), R.T.Nagar Post, Bangalore|K.B. Sandra|560032|Near Masjid-E-Thoor|Green & White Colour Building|111, 111 E,112, 114, 176, 180|Blue Colour Shutter Door|POINT(77.61011 13.02025)
 bangalore|bangalore north (yelahanka)|kodigenahalli|31298|SHAKTI NAGAR|Anganwadi|co-ed|kannada|3rd Cross, Kuppaswamy Garden, Hebbal Post, Bangalore|Shakti Nagar|560024|Beside Kaliyamma Temple|White Colour Building||Orange Colour Door|POINT(77.59302 13.03446)
