"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
361,,"242-L","K R Market","Monenahalli",35.9,1,5,5,10,,,
362,,"242-M","K R Market","Dodderi",38.4,1,5,5,10,,,
363,,"242-MA","K.R.Market","Sulavara",34.8,1,5,5,10,,,
364,,"242-N","K R Market","Giddenahalli",23.2,1,7,7,14,,,
365,,"242-P","K R Market","Huluvenahalli",31.3,1,8,8,16,,,
366,,"242-PA","K.R.Market","Huluvenahalli",38,1,6,"GS",6,,,
367,,"242-Q","K R Market","Gangenahalli",25.4,1,8,8,16,,,
368,,"242-R","K R Market","Jogerahalli",29.2,1,6,6,12,,,
369,,"242-RA","K.R.Market","Chennamaraiahnapalya",30.4,1,6,6,12,,,
370,,"242-T","K R Market","Hunnigere",35.5,1,7,7,14,,,
371,,"242-TA","K.R.Market","Mantanakurchi",35.4,1,4,4,8,,,
372,,"242-TB","K.R.Market","Kanuvanahalli",34.6,1,7,7,14,,,
373,,"242-TC","K.R.Market","Nelamangala",40.5,2,6,6,12,,,
374,,"242-TD","K.R.Market","Banasawadi",35.4,1,2,"GS",2,,,
375,,"242-U","K R Market","Lakshmipura",29.7,1,6,6,12,,,
376,,"242-V","K R Market","Chikkanahalli",36,1,6,6,12,,,
377,,"242-VA","K.R.Market","Katamaranadoddi",42.8,1,4,"GS",4,,,
378,,"242-VB","K.R.Market","Annikaranahalli",46.9,1,6,"GS",6,,,
379,,"242-W","K.R.Market ","Dabbaguli ",45.7,1,5,"GS",5,,,
380,,"242-X","Kempegowda Bus Stn","Dodderi",36.6,1,4,4,8,,,
381,,"242-XA","Yeshwanthapura RMC","Dodderi",33.8,1,3,3,6,,,
382,,"242-Y","K R Market","Aralimarda palya",37,1,4,4,8,,,
383,,"242-Z","K R Market","Thippagondanahalli",36,1,5,5,10,,,
384,,"242-ZB","K.R.Market","Kalluru",39,1,3,3,6,,,
385,,"242-ZC","K.R.Market","Thippagondanahalli",36.9,1,3,3,6,,,
386,33,243,"K R Market","Vidyamanyanagara Srinivasa Temple",17.2,4,18,18,36,,,
387,,"243-A","K R Market","Muddaiahna Palya",16.9,1,9,9,18,,,
388,,"243-B","K R Market","Tigalara Palya (Via Herohalli)",18,1,8,8,16,,,
389,,"243-C","K R Market","Tigalara Palya (Via Thunganagar)",18.4,2,13,13,26,,,
390,,"243-D","Kempegowda Bus Stn","Tigalara Palya ",15.5,4,32,35,67,,,
391,,"243-F","Kempegowda Bus Stn","GidadaKonahalli",17.6,1,9,9,18,,,
392,,"243-G","Kempegowda Bus Stn","Thippenahalli",22.5,1,6,6,12,,,
393,,"243-H","Shivajinagar Bus Station","Tigaralapalya",20.5,1,5,5,10,,,
394,,"243-J","Kempegowda Bus Stn","Upakar Residency",15.5,1,7,7,14,,,
395,,"243-K","Shivajinagar Bus Station","Herohalli ",19.7,1,6,6,12,,,
396,,"243-M","K R Market","Sreepathihalli",66,1,3,3,6,,,
397,,"243-R","MBS","MBS",26,1,5,5,10,,,
398,34,244,"K R Market","Jnana Bharathi",16.9,1,14,14,28,,,
399,,"244-A","K R Market","Malagalu",12.2,2,20,20,40,,,
400,,"244-C","Malleshwaram 18th Cross","Nagarabhavi 10th Block",12,5,50,50,100,,,
401,,"244-D","Kempegowda Bus Stn","Nagarabhavi 10th Block",14.8,1,8,8,16,,,
402,,"244-F","Kempegowda Bus Stn","ITI Layout",12.8,1,8,8,16,,,
403,,"244-G","Sivajinagar","Papareddy Palya",18,1,9,9,18,,,
404,,"244-H","Kempegowda Bus Stn","Nagarabhavi 2nd Phase 7th Block",12.2,1,8,10,18,,,
405,,"244-K","Kempegowda Bus Stn","Papareddy Palya",14.2,2,10,10,20,,,
406,,"244-L","Shivajinagar","Bandemarramma Bus station",17.3,1,10,"GS",10,,,
407,35,245,"K R Market","Ravuthanahalli",26.5,1,6,6,12,,,
408,,"245-A","Kempegowda Bus Stn","Sonde Koppa",40.5,1,5,5,10,,,
409,,"245-AA","Kadabagere Cross ","Kadabagere Cross ",29,1,8,"GS",8,,,
410,,"245-B","K R Market","Sonde Koppa",31.5,1,5,5,10,,,
411,,"245-BB","Kadabagere Cross ","Kadabagere Cross ",29,1,8,"GS",,,,
412,,"245-C","K R Market","Kadabagere",22.3,2,14,14,28,,,
413,,"245-D","K R Market","Bettahalli",22.2,2,14,14,28,,,
414,,"245-DA","K R Market","Vaddarahalli ",21.2,1,4,6,10,,,
415,,"245-E","K R Market","Kittanahalli",26.9,1,7,7,14,,,
416,,"245-F","K R Market","Averahalli",28.1,1,6,6,12,,,
417,,"245-G","Kempegowda Bus Stn","Janapriya Town Ship",18,2,10,10,20,,,
418,,"245-H","K R Market","Nelamangala",37.3,2,3,3,6,,,
419,,"245-K","Kempegowda Bus Stn","Averahalli",27.9,1,4,4,8,,,
420,,"245-L","K R Market","Balemaranahalli",28.5,1,5,5,10,,,
421,,"245-N","Shivajinagar Bus Station","Janapriya Town Ship",23.9,1,5,5,10,,,
422,,"245-P","Shivajinagar","Janapriya Town Ship",24.5,1,5,5,10,,,
423,,"245-Q","Kempegowda Bus Stn","Bettanahalli",18.8,1,10,"GS",10,,,
424,,"245-R","Shivajinagar","Kithanahalli",27,1,5,5,10,,,
425,36,246,"Kempegowda Bus Stn","Annapoorneshwari Nagar",12,2,18,18,36,,,
426,,"246A","Shivajinagar","Annapoorneshwari Nagar",19,2,17,17,34,,,
427,,"246-B","Kempegowda Bus Stn","Srigandadakaval",12.3,1,9,9,18,,,
428,37,247,"K R Market","K.G.Lakkenahalli",29.3,1,5,5,10,,,
429,,"247-A","K R Market","Vigneshwar Nagar",14.5,1,7,7,14,,,
430,38,248,"K R Market","Jalahalli Cross",20.2,22,136,139,275,,,
431,,"248-A","Jalahalli Cross","Laggere",3.4,2,24,24,48,,,
432,,"248-B","R.P.C.Layout","Chikka Banavara",25.6,5,25,26,51,,,51
433,,"248-C","K R Market","Rajagopal Nagar Rajanifarm",17.2,1,7,7,14,,,14
434,,"248-D","Magadi Road Tolgate","Vidyaranyapura",23,1,5,5,10,,,10
435,,"248-E","K.R.Market","Jalahalli Cross",19,1,6,6,12,,,12
436,,"248-F","K R Market","Kareemsab Palya",16.8,3,18,18,36,,,36
437,,"248-G","Jalahalli Cross","Magadi Road Tolgate",12.6,8,68,68,136,,,136
438,,"248-H","Peenya 2nd Stage","Marathhalli ",31.5,1,4,4,8,,,8
439,,"248-J","K R Market","Hesataghatta",29.1,1,5,5,10,,,10
440,,"248-K","BEML 5th Phase","MEI Layout",30.2,2,10,10,20,,,20
441,,"248-L","K.R.Market","Sheshadri Nagara",25,1,6,6,12,,,12
442,,"248-M","BEML 5th Phase","Thammenahalli palya",33.5,1,5,5,10,,,10
443,,"248-N","M.C.T.C. Bus Stand","Chikkabanavara",23,4,16,16,32,,,32
444,,"248-P","M.C.T.C. Bus Stand","Thammenahalli",23.5,1,6,6,12,,,12
445,,"248-Q","M.C.T.C. Bus Stand","Kakolu",37.5,1,5,5,10,,,10
446,,"248-R","K.R.Market","Jalahalli Cross",18.5,1,6,6,12,,,12
