"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
1781,,"501-K","K.R. Puram ","Bharath Nagar",34.4,1,6,"GS",6,,,
1782,,"501-L","Kottigepalya","K.R.Puram Railway Station ",19.3,9,45,45,90,,,
1783,,"501-N","Banashankri ","Jalahalli Village ",25.9,1,4,6,10,,,
1784,,"502(C-4)","Kengeri Sattellite Town","Kadugodi Bus Station",48.3,14,42,42,84,,,
1785,185,"502-A(C-2)","Kengeri Sattellite Town","Marathahalli",39.8,17,85,85,170,,,
1786,,"502-C","Kengeri Sattellite Town","Hoskote",46.2,2,15,15,30,,,
1787,,"502-D","Kengeri ","K R Puram Rly stn",40.2,6,21,21,42,,,
1788,,"502-E","Hebbala Ringroad","Kottigepalya",13.2,7,48,52,100,,,
1789,,"502-F","Kengeri ","Gangamma Circle",18.9,4,24,27,51,,,
1790,,"502-H","Kengeri ","Chikkabanawara ",26,6,45,45,90,,,
1791,,"502-HA","Kengeri ","Ganigarahalli ",27.3,1,4,4,8,,,
1792,,"502-HB","Chikkabanawara","Kengeri Bus Station",26,1,4,4,8,,,
1793,,"502-M","K.R. Puram ","Chikkalasandra Village",32,2,10,6,16,,,
1794,,503,"Marathahalli Bridge","Vidyaranyapura",25,2,12,12,24,,,
1795,186,504,"Tin Factory","Tin Factory",25.4,3,13,13,26,,,
1796,187,"504-A","Tin Factory","Tin Factory",25.4,6,39,41,80,,,
1797,,"504-B","K R Puram Rly stn","K R Puram Rly stn",19.4,1,10,"GS",10,,,
1798,,"504-C","Marthahalli Bridge","Varthur",18,1,12,"GS",12,,,
1799,,"504-D","Varthur","K.R.Puram Railway Station ",19.4,2,18,"GS",18,,,
1800,,"504-E","K.R.Puram Railway Station ","Kottigepalya",,,,,,,,
1801,,"504-F","Tin Factory","Tin Factory",19.4,2,18,"GS",18,,,
1802,,555,"Shanthinagar bus station","Electronics City",18.8,3,27,"GS",27,,,
1803,,"555-A","Shanthinagar bus station","Shanthinagar bus station",42.9,1,4,"GS",4,,,
1804,,506,"Banashankari","Shanthinagar bus station",42.9,2,6,6,8,,,
1805,188,"506-A","Hebbala Ringroad","Devanagundi",42.7,1,5,5,10,,,
1806,190,507,"K.R.Puram","Sunkadakatte",28,5,20,20,40,,,
1807,,"600-A","MCTC Bus stand","Banashankari",117,1,2,2,4,,,
1808,,"600-C","Banashankari","Chandapura",31,2,10,10,20,,,
1809,,"600-D","Meenaznagar","Chandapura",20.5,11,56,56,112,,,
1810,,"600-E","Hebbala Ring Road","Shikaripalya",21,1,6,6,12,,,
1811,,"600-F","Banashankari Bus station","Hebbala Ring Road ",28.8,24,96,96,192,,,
1812,,"600-FA","Banashankari Bus station","Jigani APC ",24.5,4,30,"GS",30,,,
1813,,"600-FB","AGS Layout ","Electronic City Wipro Gate",25.5,2,9,9,18,,,
1814,,"600-G","Kumaraswamy Layout 2nd Ph","Attibele",28.8,9,30,30,60,,,
1815,192,601,"Banashankari","Electronics City Wipro Gate ",32.6,1,4,5,9,,,
1816,193,"MBS-1","J.P.Nagar 6th Phase","Hebbala Ring Road ",20,1,6,6,12,,,
1817,,"MBS-2","Yelahanka Satt Town","Marathhalli Bridge ",35,6,30,30,60,,,
1818,,"MBS-3","Kamalanagara ","Marathhalli Bridge ",35,0,,,0,,,
1819,,"MBS-4","Sunkadakatte","K.R.Puram",25,0,,,0,,,
1820,,"MBS-5","Banashankari 3rd phase","K.R.Puram",24,2,27,27,54,,,
1821,,"MBS-6","Vidyaranyapura ","Jalahalli Cross",21.5,7,12,12,24,,,
1822,,"MBS-7","Kengeri Satt.Town ","C.V.Raman Nagara",30.2,0,0,0,0,,,
1823,,"MBS-8","Banashankari Bus station","Hoskote",45.5,7,24,24,48,,,
1824,,"MBS-9","ISRO Layout","Kalyanagar",20.5,5,30,30,60,,,
1825,,"MBS-10","Sunkadakatte","Vidyaranyapura",29,2,5,5,10,,,
1826,,"MBS-11","Jambu Savari Dinne","BTM Layout",15.7,1,9,9,18,,,
1827,,"MBS-12","Annapurneshwari Nagra","Vishwanatha Nagenahalli",25.3,3,18,18,36,,,
1828,,"MBS-13","Mico Shrama Jeevi Colony ","Marathhalli ",29,2,4,4,8,,,
1829,,"MBS-14","J.P.Nagar 3th Phase","Hennur Cross",22.3,3,15,15,30,,,
1830,,"MBS-15","Nagarabhavi Circle","Rama Krishna Hegde Nagara",23.9,6,31,31,62,,,
1831,,"MBS-16","Jalahalli Cross","Marthahalli Ring Road",37.8,3,15,15,30,,,
1832,,"MBS-17","Jalahalli Cross","Kasturinagar",25.5,4,20,20,40,,,
1833,,"MBS-18","Sunkadakatte","Marathahalli ",29.6,1,3,3,6,,,
1834,,"MBS-19","Hebbala","Bommanahalli",23,0,,,0,,,
1835,,"MBS-20","Rajeshwari Nagar","Marathahalli Bridge",23,1,5,5,10,,,
1836,,"MBS-21","Chandapura ","Kadugodi",19.6,2,12,12,24,,,
1837,,"MBS-22","MCTC Bus stand","Marthahalli Bridge ",26.2,1,8,8,16,,,
1838,,"MBS-23","Banashankari Bus station","Marthahalli Ring Road",26.6,0,,,0,,,
1839,,"MBS-24","Rajeshwari Nagar","Banashankari Bus Station",52,7,40,48,88,,,
1840,,"MBS-25","Kengeri Satt.Town KHB Qurts ","Kadugodi Bus Station",43.6,1,3,3,6,,,
1841,194,"G -1(BIG-10)","M.G. Road ","Kadugodi Bus Stn. ",21,16,23,23,46,,,
1842,,"G -2","Brigade Road ","Electronic City  Wipro Gate ",19,30,109,129,238,,,
1843,,"G -3","Mayohall   (M.G. Road)","Sarjapura ",28,16,130,140,270,,,
1844,,"G -4","Brigade Road ","Bannerghatta National Park ",20.4,14,43,48,91,,,
1845,,"G -5","Corporation(Hudson Circle)","Kagglipura ",23.5,5,23,25,48,,,
1846,,"G -6","Shanthinagar bus station","Kengere Satt. Town K.H.B. Quarters ",21,6,32,32,64,,,
1847,,"G -7","Kempegowda Bus Station","Janapriya Town Ship",18,14,67,68,135,,,
1848,,"G -8","B.R.V. Parade Ground ","Nelamangala ",29.4,14,58,62,120,,,
1849,,"G -9","B.R.V. Parade Ground ","Yelahanka Satt. Town 5th Phase ",17.5,12,63,63,126,,,
1850,,"G -10","Corporation(Kasturba Rd)","R.K. Hegade Nagara ",8.4,8,40,48,88,,,
1851,,"G-11","Balekundri Circle","Bagalur ",21,8,44,43,87,"BIG 10 Coverted to G 18/7/2009",,
1852,,"G-12","Shanthinagar bus station","K.R. Puram ",15,6,53,56,109,,,
1853,195,"Big Blue-2 ","Electronic City Wipro Gate","Peenya 2nd Stage ",37.1,8,47,"GS",47,,,
1854,196,"Big Circle 1","Banashankari Bus Station","Hebbala Ring Road ",38,2,8,8,16,,,
1855,,"Big Circle 4","Kottigepalya","Kadugodi Bus Stand ",56.6,3,6,6,12,,,
1856,197,"WFS-1","Marathahalli Bridge","Marathahalli Bridge",18,5,60,"GS",60,,,
1857,,"WFS-2","Marathahalli Bridge","Marathahalli Bridge",18,5,60,"GS",60,,,
1858,198,"FDR TF-1/1","Tin Factory","Tin Factory",15.2,1,13,"GS",13,,,
1859,199,"ATB-FDR","Chandapura ","Attibele ",14.5,1,12,"GS",12,,,
1860,200,"CS","Charted Service",,,38,343,343,686,,,
1861,201,"JPV","Janapriya Vahini",,,160,1005,1005,2010,,,
1862,202,"PK","Pushpak Service",,,114,997,997,1994,,,
1863,203,"PHS","PHS",,,25,132,132,264,,,
1864,204,"FDR","Feeder",,,35,224,225,872,,,
,,,,"Total",47665.6,4343,25917,24210,50506,,,
